"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "JavaScript JSX", "Markdown", "PostCSS", "JSON", "Properties", "Gradle", "Batch", "YAML", "Java", "XML", "comment", "blank", "total"
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\java\com\drivesense\app\SecureDeleteHelper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 10, 11, 60
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\java\com\drivesense\app\SystemBarsPlugin.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 11, 86
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\java\com\drivesense\app\WhereIParkedWidgetProvider.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 1, 21, 156
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 1, 171
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable\ic_qs_roadsage.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable\ic_stat_drivesense.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable\widget_where_i_parked_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable\widget_where_i_parked_primary_button.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\drawable\widget_where_i_parked_secondary_button.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\layout\widget_where_i_parked.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 4, 88
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\bemat\src\DrivingTracking\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
